itemLabel,ICAO_airport_code,countryLabel,located_in_the_administrative_territorial_entityLabel,coordinate_location
Pittsburgh International Airport,KPIT,United States of America,Moon Township,Point(-80.256693 40.495997)
Halifax Stanfield International Airport,CYHZ,Canada,Nova Scotia,Point(-63.5103 44.8797)
Kadala Airport,UIAA,Russia,Zabaykalsky Krai,Point(113.305 52.026666666)
Chubu Centrair International Airport,RJGG,Japan,Tokoname,Point(136.805277777 34.858333333)
Hector International Airport,KFAR,United States of America,Fargo,Point(-96.815833333 46.920555555)
Istanbul Sabiha Gökçen International Airport,LTFJ,Turkey,Pendik,Point(29.309166666 40.898333333)
Harare International Airport,FVHA,Zimbabwe,Harare,Point(31.092847222 -17.931805555)
Can Tho International Airport,VVCT,Vietnam,Cần Thơ,Point(105.711944444 10.085277777)
Cleveland Hopkins International Airport,KCLE,United States of America,Ohio,Point(-81.849722222 41.411666666)
Ahvaz General Ghasem Soleimani International Airport,OIAW,Iran,Ahvaz,Point(48.76195 31.337430555)
Rafael Núñez International Airport,SKCG,Colombia,Bolivar Department,Point(-75.512777777 10.442041666)
Alejandro Velasco Astete International Airport,SPZO,Peru,Cusco,Point(-71.943611111 -13.535555555)
"Florence Airport, Peretola",LIRQ,Italy,Florence,Point(11.202777777 43.808611111)
Wuhan Tianhe International Airport,ZHHH,People's Republic of China,Tianhe Subdistrict,Point(114.208055555 30.783611111)
St. Petersburg–Clearwater International Airport,KPIE,United States of America,Pinellas County,Point(-82.69092 27.90699)
Key West International Airport,KEYW,United States of America,Key West,Point(-81.759444444 24.556111111)
Panama City–Bay County International Airport,KPFN,United States of America,Florida,Point(-85.682777777 30.212222222)
Hefei Xinqiao International Airport,ZSOF,People's Republic of China,Feixi County,Point(116.9641 31.9894)
Diego Aracena International Airport,SCDA,Chile,Iquique,Point(-70.181275 -20.535222222)
Ushuaia – Malvinas Argentinas International Airport,SAWH,Argentina,"Tierra del Fuego, Antarctica and South Atlantic Islands Province",Point(-68.3123 -54.8396)
Sulaimaniyah International Airport,ORSU,Iraq,Sulaymaniyah Governorate,Point(45.314444 35.560833)
Odesa International Airport,UKOO,Ukraine,Odesa,Point(30.678055555 46.426944444)
Mohammed V International Airport,GMMN,Morocco,Nouaceur Province,Point(-7.581667 33.364167)
San Pablo Airport,LEZL,Spain,Seville,Point(-5.898889 37.418056)
Milwaukee Mitchell International Airport,KMKE,United States of America,Milwaukee,Point(-87.896666666 42.947222222)
Ben Gurion Airport,LLBG,Israel,Central District,Point(34.882777777 32.009444444)
Cap. FAP Carlos Martinez de Pinillos International Airport,SPRU,Peru,Trujillo,Point(-79.108611111 -8.081388888)
Fort Lauderdale–Hollywood International Airport,KFLL,United States of America,Broward County,Point(-80.152777777 26.0725)
Sihanouk International Airport,VDSV,Cambodia,Prey Nob District,Point(103.636944444 10.58)
Hilo International Airport,PHTO,United States of America,Hilo,Point(-155.048333 19.725278)
Del Bajio International Airport,MMLO,Mexico,Silao Municipality,Point(-101.480833333 20.993333333)
